   59.7376976   # Box length L  
   10648        # Number of sites 
   0.00000000       0.00000000       0.00000000    
   0.00000000       2.71534991       2.71534991    
   2.71534991       2.71534991       0.00000000    
   2.71534991       0.00000000       2.71534991    
   1.35767496       1.35767496       1.35767496    
   1.35767496       4.07302475       4.07302475    
   4.07302475       4.07302475       1.35767496    
   4.07302475       1.35767496       4.07302475    
   0.00000000       0.00000000       5.43069983    
   0.00000000       2.71534991       8.14604950    
   2.71534991       2.71534991       5.43069983    
   2.71534991       0.00000000       8.14604950    
   1.35767496       1.35767496       6.78837490    
   1.35767496       4.07302475       9.50372505    
   4.07302475       4.07302475       6.78837490    
   4.07302475       1.35767496       9.50372505    
   0.00000000       0.00000000       10.8613997    
   0.00000000       2.71534991       13.5767498    
   2.71534991       2.71534991       10.8613997    
   2.71534991       0.00000000       13.5767498    
   1.35767496       1.35767496       12.2190742    
   1.35767496       4.07302475       14.9344244    
   4.07302475       4.07302475       12.2190742    
   4.07302475       1.35767496       14.9344244    
   0.00000000       0.00000000       16.2920990    
   0.00000000       2.71534991       19.0074501    
   2.71534991       2.71534991       16.2920990    
   2.71534991       0.00000000       19.0074501    
   1.35767496       1.35767496       17.6497746    
   1.35767496       4.07302475       20.3651237    
   4.07302475       4.07302475       17.6497746    
   4.07302475       1.35767496       20.3651237    
   0.00000000       0.00000000       21.7227993    
   0.00000000       2.71534991       24.4381485    
   2.71534991       2.71534991       21.7227993    
   2.71534991       0.00000000       24.4381485    
   1.35767496       1.35767496       23.0804749    
   1.35767496       4.07302475       25.7958241    
   4.07302475       4.07302475       23.0804749    
   4.07302475       1.35767496       25.7958241    
   0.00000000       0.00000000       27.1534996    
   0.00000000       2.71534991       29.8688488    
   2.71534991       2.71534991       27.1534996    
   2.71534991       0.00000000       29.8688488    
   1.35767496       1.35767496       28.5111732    
   1.35767496       4.07302475       31.2265244    
   4.07302475       4.07302475       28.5111732    
   4.07302475       1.35767496       31.2265244    
   0.00000000       0.00000000       32.5841980    
   0.00000000       2.71534991       35.2995491    
   2.71534991       2.71534991       32.5841980    
   2.71534991       0.00000000       35.2995491    
   1.35767496       1.35767496       33.9418755    
   1.35767496       4.07302475       36.6572227    
   4.07302475       4.07302475       33.9418755    
   4.07302475       1.35767496       36.6572227    
   0.00000000       0.00000000       38.0149002    
   0.00000000       2.71534991       40.7302475    
   2.71534991       2.71534991       38.0149002    
   2.71534991       0.00000000       40.7302475    
   1.35767496       1.35767496       39.3725739    
   1.35767496       4.07302475       42.0879250    
   4.07302475       4.07302475       39.3725739    
   4.07302475       1.35767496       42.0879250    
   0.00000000       0.00000000       43.4455986    
   0.00000000       2.71534991       46.1609497    
   2.71534991       2.71534991       43.4455986    
   2.71534991       0.00000000       46.1609497    
   1.35767496       1.35767496       44.8032722    
   1.35767496       4.07302475       47.5186234    
   4.07302475       4.07302475       44.8032722    
   4.07302475       1.35767496       47.5186234    
   0.00000000       0.00000000       48.8762970    
   0.00000000       2.71534991       51.5916481    
   2.71534991       2.71534991       48.8762970    
   2.71534991       0.00000000       51.5916481    
